"last_name, first_name",team
"Crawford, J.P.",Seattle
"Martin, Austin",Minnesota
"Lukes, Nathan",Toronto
"Merrill, Jackson",San Diego
"McCormick, Chas",Houston
"Arozarena, Randy",Tampa Bay
"Báez, Javier",Detroit
"Suzuki, Seiya",Chicago
"Berti, Jon",Miami
"Varsho, Daulton",Toronto
"Cordero, Franchy",New York
"Adell, Jo",Los Angeles
"Santana, Carlos",Pittsburgh
"Ruiz, Esteury",Oakland
"Acuña, Luisangel",Texas
"León, Pedro",Houston
"Rutschman, Adley",Baltimore
"Wade, Tyler",Oakland
"Amaya, Miguel",Chicago
"Morel, Christopher",Chicago
"Joe, Connor",Pittsburgh
"Vosler, Jason",Seattle
"Miller, Owen",Milwaukee
"Torkelson, Spencer",Detroit
"Sogard, Nick",Boston
"Baker, Luken",St.Louis
"Ramírez, Agustín",New York
"Drury, Brandon",Los Angeles
"DeLuca, Jonny",Los Angeles
"Heim, Jonah",Texas
"Smith, Will",Los Angeles
"Cabrera, Miguel",Retired
"Gonzalez, Romy",Chicago
"Amaya, Jacob",Miami
"Renfroe, Hunter",Kansas City
"Judge, Aaron",New York
"Piña, Manny",Oakland
"Bregman, Alex",Houston
"Isbel, Kyle",Kansas City
"Conforto, Michael",San Francisco
"Wilson, Weston",Philadelphia
"Lopez, Irving",St.Louis
"Velázquez, Nelson",Kansas City
"Dozier, Hunter",Free
"Higashioka, Kyle",San Diego
"Stewart, DJ",New York
"Marsh, Brandon",Philadelphia
"Schunk, Aaron",Colorado
"Hernández, Yonny",Los Angeles
"Rizzo, Anthony",New York
"Tucker, Cole",Seattle
"Bae, Ji Hwan",Pittsburgh
"Yorke, Nick",Boston
"Wynns, Austin",Los Angeles
"Kwan, Steven",Cleveland
"Meckler, Wade",San Francisco
"Fairchild, Stuart",Cincinnati
"Alvarez, Armando",San Francisco
"Bogaerts, Xander",San Diego
"Rojas, Johan",Philadelphia
"Friedl Jr., TJ",Cincinnati
"Sánchez, Jesús",Miami
"Pagés, Pedro",St.Louis
"Herrera, Iván",St.Louis
"Arcia, Orlando",Atlanta
"Biggio, Cavan",Toronto
"Wagner, Will",Houston
"Pérez, Wenceel",Detroit
"Castellanos, Nick",Philadelphia
"Caminero, Junior",Tampa Bay
"Herrera, Jose",Arizona
"Arenado, Nolan",St.Louis
"Realmuto, J.T.",Philadelphia
"LeMahieu, DJ",New York
"Donaldson, Josh",Retired
"Myers, Dane",Miami
"Nido, Tomás",New York
"Palacios, Joshua",Pittsburgh
"Motter, Taylor",Free
"McCann, James",Baltimore
"McGuire, Reese",Boston
"Díaz, Elias",Colorado
"Carpenter, Kerry",Detroit
"Julks, Corey",Houston
"Perdomo, Geraldo",Arizona
"Canha, Mark",Detroit
"Hernández, Teoscar",Los Angeles
"Lipcius, Andre",Detroit
"Dalbec, Bobby",Boston
"Wood, James",Washington
"Vaughn, Andrew",Chicago
"Adams, Jordyn",Los Angeles
"García, Avisaíl",Miami
"Cabbage, Trey",Los Angeles
"Story, Trevor",Boston
"Margot, Manuel",Minnesota
"De La Cruz, Bryan",Miami
"Kreidler, Ryan",Detroit
"Duran, Ezequiel",Texas
"Marte, Ketel",Arizona
"Choi, Ji Man",Free
"Neto, Zach",Los Angeles
"Goldschmidt, Paul",St.Louis
"Sabol, Blake",San Francisco
"Whitcomb, Shay",Houston
"Refsnyder, Rob",Boston
"Pham, Tommy",Chicago
"Doyle, Brenton",Colorado
"Collins, Isaac",Colorado
"Raleigh, Cal",Seattle
"Meyers, Jake",Houston
"McMahon, Ryan",Colorado
"Calhoun, Willie",New York
"Westburg, Jordan",Baltimore
"Gorman, Nolan",St.Louis
"McCarthy, Jake",Arizona
"Moncada, Yoán",Chicago
"Devers, Rafael",Boston
"Peterson, Jace",Free
"Blankenhorn, Travis",Washington
"Kessinger, Grae",Houston
"Merrifield, Whit",Philadelphia
"Allen, Nick",Oakland
"Abreu, Wilyer",Boston
"Massey, Michael",Kansas City
"Triolo, Jared",Pittsburgh
"Clemens, Kody",Minnesota
"Keith, Colt",Detroit
"Cruz, Oneil",Pittsburgh
"Rodríguez, Endy",Pittsburgh
"Taveras, Leody",Seattle
"Tauchman, Mike",Chicago
"Ramos, Heliot",San Francisco
"Cowser, Colton",Baltimore
"Urías, Luis",Milwaukee
"Meidroth, Chase",(Team
"Trejo, Alan",Colorado
"Polanco, Jorge",(Team
"Cruz Jr., Nelson",Free
"Huff, Sam",Texas
"Hicks, Liam",Texas
"Rosario, Eguy",Texas
"Straw, Myles",(Team
"Adames, Willy",Milwaukee
"Bryant, Kris",Colorado
"La Stella, Tommy",Free
"Capel, Conner",Oakland
"Sweeney, Trey",New York
"Kiner-Falefa, Isiah",New York
"Jimenez, Leo",Toronto
"Beck, Jordan",Colorado
"Jiménez, Eloy",Chicago
"Scott II, Victor",St.Louis
